,x,psi
0,0.06,2.5193015062318858
1,0.07,2.7061086926343796
2,0.08,2.8405217583785123
3,0.09,2.96614102769596
4,0.1,3.0561418199798185
5,0.11,3.1787044354719978
6,0.12,3.292657994866802
7,0.13,3.4568513388316213
8,0.14,3.6735307159180475
9,0.15,3.9463674127012602
10,0.16,4.348899380713516
11,0.17,4.938415969246081
12,0.18,5.692507833898673
13,0.19,6.805979319517695
14,0.2,8.25456842970804
15,0.21,10.258021354867905
16,0.22,13.033914108303376
17,0.23,16.80687775441697
18,0.24,21.815232195921897
19,0.25,28.56600936832802
20,0.26,37.21332986287305
21,0.27,48.0404807615521
22,0.28,61.969208967305924
23,0.29,77.54242216043012
24,0.3,95.10738144992168
25,0.31,114.93945002452895
26,0.32,133.92768559598292
27,0.33,149.84979691424877
28,0.34,165.07162340818596
29,0.35,177.51615728782102
30,0.36,184.89422769275652
31,0.37,189.77856546534167
32,0.38,193.18905875677993
33,0.39,193.57264181998536
34,0.4,192.14539956822702
35,0.41,189.26723871726867
36,0.42,186.45106089070333
37,0.43,182.91022853404354
38,0.44,178.73051368533072
39,0.45,174.40129630035062
40,0.46,168.9216660307778
41,0.47,163.0423462177287
42,0.48,155.28899105076042
43,0.49,144.3250863464139
44,0.5,129.07454895359695
45,0.51,107.13733174711987
46,0.52,75.67356028205513
47,0.53,38.47162433422431
48,0.54,8.60701885742276
