,x,psi
0,0.06,10.78589951907207
1,0.07,20.717924739347346
2,0.08,49.27566834592521
3,0.09,129.20458407082117
4,0.1,315.3128475072387
5,0.11,487.2976960723746
6,0.12,457.71854428905624
7,0.13,368.54810280585497
8,0.14,301.7194266167683
9,0.15,255.94192641587674
10,0.16,224.15585323005686
11,0.17,201.59122419303253
12,0.18,181.57102563989733
13,0.19,165.85020557482397
14,0.2,151.39427028301202
15,0.21,136.8923854408958
16,0.22,121.24849111648068
17,0.23,102.15775500154652
18,0.24,78.59275147556576
19,0.25,44.786494948456784
20,0.26,3.680827501679556
21,0.27,59.67612080077736
22,0.28,184.5826419426754
23,0.29,194.75239484311254
24,0.3,181.13604697075408
25,0.31,167.91502375057175
26,0.32,156.7226959796822
27,0.33,147.22410051883367
28,0.34,139.3906056633258
29,0.35,132.5219275430411
30,0.36,126.08068255205855
31,0.37,120.49010450208154
32,0.38,115.17086367626959
33,0.39,110.10649437496556
34,0.4,105.42857475624147
35,0.41,100.81694252937034
36,0.42,96.35744202479415
37,0.43,91.74001317576655
38,0.44,87.5231291953335
39,0.45,83.29411080778004
40,0.46,78.96969948806068
41,0.47,74.54813927149054
42,0.48,69.86945167166132
43,0.49,65.42293452418933
44,0.5,60.65137771938145
45,0.51,55.82640133627579
46,0.52,50.58640758779839
47,0.53,45.28153767276441
48,0.54,39.86266034848628
